Topic,Company,Problem Name,Difficulty,Link,Video,Code
array,accenture,Maximum Subarray,M 2.09,https://leetcode.com/problems/maximum-subarray,https://www.youtube.com/watch?v=5WZl3MMT0Eg,https://github.com/neetcode-gh/leetcode/blob/main/python/0053-maximum-subarray.py
array,accenture,Koko Eating Bananas,M 1.81,https://leetcode.com/problems/koko-eating-bananas,https://www.youtube.com/watch?v=U2SozAs9RzA,https://github.com/neetcode-gh/leetcode/blob/main/python/0875-koko-eating-bananas.py
array,accenture,Container With Most Water,M 1.48,https://leetcode.com/problems/container-with-most-water,https://www.youtube.com/watch?v=UuiTKBwPgAo,https://github.com/neetcode-gh/leetcode/blob/main/python/0011-container-with-most-water.py
array,accenture,Product of Array Except Self,M 1.36,https://leetcode.com/problems/product-of-array-except-self,https://www.youtube.com/watch?v=bNvIQI2wAjk,https://github.com/neetcode-gh/leetcode/blob/main/python/0238-product-of-array-except-self.py
array,accenture,Coin Change,M 1.12,https://leetcode.com/problems/coin-change,https://www.youtube.com/watch?v=H9bfqozjoqs,https://github.com/neetcode-gh/leetcode/blob/main/python/0322-coin-change.py
array,accenture,Daily Temperatures,M 0.95,https://leetcode.com/problems/daily-temperatures,https://www.youtube.com/watch?v=cTBiBSnjO3c,https://github.com/neetcode-gh/leetcode/blob/main/python/0739-daily-temperatures.py
array,accenture,Rotate Array,M 0.84,https://leetcode.com/problems/rotate-array,https://www.youtube.com/watch?v=BHr381Guz3Y,https://github.com/neetcode-gh/leetcode/blob/main/python/0189-rotate-array.py
array,accenture,Largest Number,M 0.82,https://leetcode.com/problems/largest-number,https://www.youtube.com/watch?v=WDx6Y4i4xJ8,https://github.com/neetcode-gh/leetcode/blob/main/python/0179-largest-number.py
array,accenture,Maximum Width Ramp,M 0.43,https://leetcode.com/problems/maximum-width-ramp,,
array,accenture,Delete and Earn,M 0.30,https://leetcode.com/problems/delete-and-earn,https://www.youtube.com/watch?v=7FCemBxvGw0,https://github.com/neetcode-gh/leetcode/blob/main/python/0740-delete-and-earn.py
array,accenture,Find the Winner of the Circular Game,M 0.28,https://leetcode.com/problems/find-the-winner-of-the-circular-game,,
array,accenture,01 Matrix,M 0.21,https://leetcode.com/problems/01-matrix,,
array,accenture,Maximum Number of Moves in a Grid,M 0.04,https://leetcode.com/problems/maximum-number-of-moves-in-a-grid,,
array,adobe,Group Anagrams,M 3.18,https://leetcode.com/problems/group-anagrams,https://www.youtube.com/watch?v=vzdNOK2oB2E,https://github.com/neetcode-gh/leetcode/blob/main/python/0049-group-anagrams.py
array,adobe,Random Pick with Weight,M 2.86,https://leetcode.com/problems/random-pick-with-weight,,
array,adobe,Median of Two Sorted Arrays,H 2.00,https://leetcode.com/problems/median-of-two-sorted-arrays,https://www.youtube.com/watch?v=q6IEA26hvXc,https://github.com/neetcode-gh/leetcode/blob/main/python/0004-median-of-two-sorted-arrays.py
array,adobe,Next Permutation,M 1.74,https://leetcode.com/problems/next-permutation,,
array,adobe,Gas Station,M 0.56,https://leetcode.com/problems/gas-station,https://www.youtube.com/watch?v=lJwbPZGo05A,https://github.com/neetcode-gh/leetcode/blob/main/python/0134-gas-station.py
array,adobe,Minimum Processing Time,M 0.09,https://leetcode.com/problems/minimum-processing-time,,
array,affirm,Group Anagrams,M 3.18,https://leetcode.com/problems/group-anagrams,https://www.youtube.com/watch?v=vzdNOK2oB2E,https://github.com/neetcode-gh/leetcode/blob/main/python/0049-group-anagrams.py
array,affirm,Coin Change,M 1.12,https://leetcode.com/problems/coin-change,https://www.youtube.com/watch?v=H9bfqozjoqs,https://github.com/neetcode-gh/leetcode/blob/main/python/0322-coin-change.py
array,affirm,Design Hit Counter,M 0.65,https://leetcode.com/problems/design-hit-counter,,
array,affirm,6 Shortest Uncommon Substring in an Array,M 0.13,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,,
array,agoda,3Sum,M 2.19,https://leetcode.com/problems/3sum,https://www.youtube.com/watch?v=jzZsG8n2R9A,https://github.com/neetcode-gh/leetcode/blob/main/python/0015-3sum.py
array,agoda,Daily Temperatures,M 0.95,https://leetcode.com/problems/daily-temperatures,https://www.youtube.com/watch?v=cTBiBSnjO3c,https://github.com/neetcode-gh/leetcode/blob/main/python/0739-daily-temperatures.py
array,agoda,Capacity To Ship Packages Within D Days,M 0.67,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,https://www.youtube.com/watch?v=ER_oLmdc-nw,https://github.com/neetcode-gh/leetcode/blob/main/python/1011-capacity-to-ship-packages-within-d-days.py
array,agoda,Unique Paths II,M 0.36,https://leetcode.com/problems/unique-paths-ii,https://www.youtube.com/watch?v=d3UOz7zdE4I,https://github.com/neetcode-gh/leetcode/blob/main/python/0063-unique-paths-ii.py
array,airbnb,Text Justification,H 1.46,https://leetcode.com/problems/text-justification,https://www.youtube.com/watch?v=TzMl4Z7pVh8,https://github.com/neetcode-gh/leetcode/blob/main/python/0068-text-justification.py
array,airbnb,Maximum Profit in Job Scheduling,H 0.82,https://leetcode.com/problems/maximum-profit-in-job-scheduling,,
array,airbnb,Combination Sum,M 0.75,https://leetcode.com/problems/combination-sum,https://www.youtube.com/watch?v=GBKI9VSKdGg,https://github.com/neetcode-gh/leetcode/blob/main/python/0039-combination-sum.py
array,airbnb,Palindrome Pairs,H 0.13,https://leetcode.com/problems/palindrome-pairs,,
array,airbnb,Smallest Common Region,M 0.09,https://leetcode.com/problems/smallest-common-region,,
array,airbnb,Pour Water,M 0.06,https://leetcode.com/problems/pour-water,,
array,airbnb,Flatten 2D Vector,M 0.06,https://leetcode.com/problems/flatten-2d-vector,,
array,amazon,Number of Islands,M 4.95,https://leetcode.com/problems/number-of-islands,https://www.youtube.com/watch?v=pV2kpPD66nE,https://github.com/neetcode-gh/leetcode/blob/main/python/0200-number-of-islands.py
array,amazon,Merge Intervals,M 4.84,https://leetcode.com/problems/merge-intervals,t,h
array,amazon,Trapping Rain Water,H 3.91,https://leetcode.com/problems/trapping-rain-water,https://www.youtube.com/watch?v=ZI2z5pq0TqA,https://github.com/neetcode-gh/leetcode/blob/main/python/0042-trapping-rain-water.py
array,amazon,Kth Largest Element in an Array,M 3.81,https://leetcode.com/problems/kth-largest-element-in-an-array,https://www.youtube.com/watch?v=XEmy13g1Qxc,https://github.com/neetcode-gh/leetcode/blob/main/python/0215-kth-largest-element-in-an-array.py
array,amazon,Group Anagrams,M 3.18,https://leetcode.com/problems/group-anagrams,https://www.youtube.com/watch?v=vzdNOK2oB2E,https://github.com/neetcode-gh/leetcode/blob/main/python/0049-group-anagrams.py
array,amazon,Find Peak Element,M 2.86,https://leetcode.com/problems/find-peak-element,https://www.youtube.com/watch?v=kMzJy9es7Hc,https://github.com/neetcode-gh/leetcode/blob/main/python/0162-find-peak-element.py
array,amazon,Random Pick with Weight,M 2.86,https://leetcode.com/problems/random-pick-with-weight,,
array,amazon,Top K Frequent Elements,M 2.80,https://leetcode.com/problems/top-k-frequent-elements,https://www.youtube.com/watch?v=YPTqKIgVk-k,https://github.com/neetcode-gh/leetcode/blob/main/python/0347-top-k-frequent-elements.py
array,amazon,Subarray Sum Equals K,M 2.67,https://leetcode.com/problems/subarray-sum-equals-k,https://www.youtube.com/watch?v=fFVZt-6sgyo,https://github.com/neetcode-gh/leetcode/blob/main/python/0560-subarray-sum-equals-k.py
array,amazon,3Sum,M 2.19,https://leetcode.com/problems/3sum,https://www.youtube.com/watch?v=jzZsG8n2R9A,https://github.com/neetcode-gh/leetcode/blob/main/python/0015-3sum.py
array,amazon,Meeting Rooms II,M 2.13,https://leetcode.com/problems/meeting-rooms-ii,https://www.youtube.com/watch?v=FdzJmTCVyJU,https://github.com/neetcode-gh/leetcode/blob/main/python/0253-meeting-rooms-ii.py
array,amazon,Maximum Subarray,M 2.09,https://leetcode.com/problems/maximum-subarray,https://www.youtube.com/watch?v=5WZl3MMT0Eg,https://github.com/neetcode-gh/leetcode/blob/main/python/0053-maximum-subarray.py
array,amazon,House Robber,M 2.04,https://leetcode.com/problems/house-robber,https://www.youtube.com/watch?v=73r3KWiEvyk,https://github.com/neetcode-gh/leetcode/blob/main/python/0198-house-robber.py
array,amazon,Median of Two Sorted Arrays,H 2.00,https://leetcode.com/problems/median-of-two-sorted-arrays,https://www.youtube.com/watch?v=q6IEA26hvXc,https://github.com/neetcode-gh/leetcode/blob/main/python/0004-median-of-two-sorted-arrays.py
array,amazon,Spiral Matrix,M 1.98,https://leetcode.com/problems/spiral-matrix,https://www.youtube.com/watch?v=BJnMZNwUk1M,https://github.com/neetcode-gh/leetcode/blob/main/python/0054-spiral-matrix.py
array,amazon,Koko Eating Bananas,M 1.81,https://leetcode.com/problems/koko-eating-bananas,https://www.youtube.com/watch?v=U2SozAs9RzA,https://github.com/neetcode-gh/leetcode/blob/main/python/0875-koko-eating-bananas.py
array,amazon,Dot Product of Two Sparse Vectors,M 1.81,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,,
array,amazon,Jump Game,M 1.79,https://leetcode.com/problems/jump-game,https://www.youtube.com/watch?v=Yan0cv2cLy8,https://github.com/neetcode-gh/leetcode/blob/main/python/0055-jump-game.py
array,amazon,Shortest Path in Binary Matrix,M 1.78,https://leetcode.com/problems/shortest-path-in-binary-matrix,https://www.youtube.com/watch?v=YnxUdAO7TAo,https://github.com/neetcode-gh/leetcode/blob/main/python/1091-shortest-path-in-binary-matrix.py
array,amazon,Max Consecutive Ones III,M 1.76,https://leetcode.com/problems/max-consecutive-ones-iii,,
array,amazon,Next Permutation,M 1.74,https://leetcode.com/problems/next-permutation,,
array,amazon,Rotate Image,M 1.64,https://leetcode.com/problems/rotate-image,https://www.youtube.com/watch?v=fMSJSS7eO1w,https://github.com/neetcode-gh/leetcode/blob/main/python/0048-rotate-image.py
array,amazon,Longest Consecutive Sequence,M 1.51,https://leetcode.com/problems/longest-consecutive-sequence,https://www.youtube.com/watch?v=P6RZZMu_maU,https://github.com/neetcode-gh/leetcode/blob/main/python/0128-longest-consecutive-sequence.py
array,amazon,K Closest Points to Origin,M 1.51,https://leetcode.com/problems/k-closest-points-to-origin,https://www.youtube.com/watch?v=rI2EBUEMfTk,https://github.com/neetcode-gh/leetcode/blob/main/python/0973-k-closest-points-to-origin.py
array,amazon,Container With Most Water,M 1.48,https://leetcode.com/problems/container-with-most-water,https://www.youtube.com/watch?v=UuiTKBwPgAo,https://github.com/neetcode-gh/leetcode/blob/main/python/0011-container-with-most-water.py
array,amazon,Rotting Oranges,M 1.46,https://leetcode.com/problems/rotting-oranges,https://www.youtube.com/watch?v=y704fEOx0s0,https://github.com/neetcode-gh/leetcode/blob/main/python/0994-rotting-oranges.py
